"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C6, C7, C9, C11, C13, C15";"C_0603_1608Metric";7;"0.1uF";;;
2;"C2, C5, C8, C10, C12";"C_0603_1608Metric";5;"10uF";;;
3;"C3, C4";"C_0603_1608Metric";2;"33pF";;;
4;"C14, C16";"C_0603_1608Metric";2;"4.7uF";;;
5;"R1";"R_0805_2012Metric";1;"5.1k";;;
6;"R2";"R_0805_2012Metric";1;"680";;;
7;"U1";"C157357_HQFN-32_L5_0-W5_0-P0_50-BL-EP3_0";1;"GL3224-OIY04";;;
8;"U2";"C5184837_TF-SMD_TF-PUSH";1;"SD Card";;;
9;"USB-C-Male1";"C530606_USB-C-SMD_TYPE-C-31-G-02";1;"TYPE-C-31-G-02";;;
10;"X1";"C14872_HC-49S_L11_4-W4_8";1;"HC-49SMD 25MHZ 20PF 20PPM";;;
